RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player?s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Isaiah Joe,Phi,G,20,8,19.6,40.7,15.3,5.2,5,1,11,0.364,41,0.366,0.51,0.535,7.3,2,5.4,1.4,9.4,0.5,0.5,0.38,5.6,113.4,103.8
,Mfiondu Kabengele,Lac,F-C,23.42,7,4.7,9.7,16.3,16.8,2,1,3,0,6,0.167,0.167,0.253,0.7,0.6,7.1,0.3,7.7,0.29,0.14,0.29,4.3,56.6,92.1
,Alex Len,Tor,C,27.58,7,10.8,22.6,11.6,38.8,6,0.5,4,0.5,6,0.5,0.65,0.633,2.3,1.6,7.8,0.4,5.2,0.14,0.86,1.14,4.2,77.4,103
,Boban Marjanovic,Dal,C,32.42,7,8.7,18.2,22.9,3.2,6,0.667,26,0.654,2,0,0.607,0.62,5.4,3.1,19.5,0,0,0,0,0.14,0,130.5,99.1
,Dakota Mathias,Phi,G,20,8,15.4,32.2,17.5,1.9,6,0.333,22,0.5,26,0.308,0.479,0.474,6,0.9,3,1.6,14.6,0.13,0.38,0.13,5.3,106.1,109.9
,Nicolo Melli,Nor,F,29.97,7,11.4,23.8,12.2,17.6,4,0.75,3,0.333,14,0.214,0.324,0.373,2,2.3,11,1.1,13.2,0.43,0,0.57,6,86.6,99.8
,Sam Merrill,Mil,G,20,7,6.2,12.9,11.5,25.3,2,1,2,0,6,0.667,0.75,0.788,2,1.3,11,1.4,27.5,0.14,0,0.43,9.9,148.1,105.2
,Isaac Okoro,Cle,F-G,20,7,35.9,74.9,12.5,16.6,12,0.5,35,0.457,20,0.3,0.455,0.464,8,2.1,3.2,2,7.9,1,0.29,1.71,3.6,88.8,105.6
,Dario Saric,Pho,F-C,26.77,7,18.8,39.2,25.7,14.7,13,0.923,30,0.533,28,0.357,0.534,0.581,10.6,4.6,13.6,1,8.4,0.57,0.14,1.57,7.8,101.7,99.3
,Mike Scott,Phi,F,32.5,8,19.2,39.9,13.2,6.2,3,0.667,8,0.625,36,0.25,0.42,0.43,4.9,2.8,7.6,0.1,0.8,0.25,0.25,0.38,2.3,88.1,106.7
,John Wall,Hou,G,30.36,7,33.9,70.5,26.1,16.8,26,0.846,76,0.513,31,0.323,0.505,0.549,18.6,4.7,7.5,5.1,24.4,1.29,1,3.43,9,103.4,111
,Russell Westbrook,Was,G,32.17,7,37.1,77.3,29.6,19.7,35,0.657,102,0.402,33,0.303,0.415,0.449,19.3,9.7,14.1,11.3,42.3,1.29,0.29,5.29,13.8,93.7,106.8
,D.J. Wilson,Mil,F,24.9,7,10.2,21.2,18.1,13,2,0.5,10,0.4,16,0.438,0.558,0.558,4.3,2.7,14.1,0.4,5.4,0.14,0.29,0.57,6.5,104.8,97.1
,Thaddeus Young,Chi,F,32.57,7,25.3,52.7,17.5,22.6,7,0.857,45,0.667,10,0.3,0.627,0.646,10.7,4.3,9.5,2.9,16.4,0.71,0.29,2.43,8.1,110.8,109.4
,Bol Bol,Den,C-F,21.17,7,6.5,13.5,16.2,29.4,0,0,6,0.5,6,0.333,0.5,0.5,1.7,0.7,6.4,0.1,2.8,0,0.43,0.71,3,69.2,102.4
,Marques Bolden,Cle,C,22.75,6,4.8,9.9,13,23.5,8,0.625,3,0.333,0,0,0.333,0.537,1.2,1.2,13.3,0,0,0.33,0.33,0.33,0,99.8,108.2
,Jordan Bone,Orl,G,23.2,6,15.4,32.2,11.8,3.8,0,0,12,0.667,13,0.308,0.56,0.56,4.7,2.2,7.3,1.7,15.4,0,0,0.17,6.8,126.6,113.4
,Jimmy Butler,Mia,F,31.34,6,28.9,60.3,25.2,10.9,29,0.931,70,0.486,7,0,0.442,0.529,15.8,5.5,10.5,5.3,29.2,2.17,0.67,1.83,10.7,114.2,109.1
,Bruno Caboclo,Hou,F,25.32,6,6.1,12.6,26.1,18.3,2,0.5,12,0.667,5,0,0.471,0.475,2.8,2.3,20.8,0.2,4.5,0,0.33,0.67,7.1,84.8,94.4
,Chris Chiozza,Bro,G,25.15,6,13.8,28.7,23.5,13.1,6,0.667,22,0.227,15,0.267,0.297,0.328,4.3,1.3,5.1,3,28.1,0.67,0.33,1,7.4,84,107.9
,Jared Dudley,Lal,F,35.52,6,3.6,7.5,2,0,0,0,0,0,1,1,1.5,1.5,0.5,1,14.7,0.2,5.4,0,0,0,5.2,,
,Wayne Ellington,Det,G,33.13,6,16.2,33.7,18.1,4.8,1,1,12,0.667,27,0.37,0.59,0.596,7.8,1.8,6.1,0.5,5.2,0.33,0.5,0.33,4.7,116,109.7
,Dante Exum,Cle,G,25.51,6,19.4,40.3,12.7,20.7,2,0.5,15,0.533,11,0.182,0.423,0.428,3.8,2.8,8,2.2,15.9,0.67,0.33,1.17,5.9,86.6,102
,Malachi Flynn,Tor,G,20,7,8.5,17.7,16.5,4.3,0,0,9,0.333,13,0.231,0.341,0.341,2.1,0.9,5.4,1,16.4,0.29,0,0.14,5.8,84.6,106.8
,Darius Garland,Cle,G,20.97,6,35.8,74.7,22.3,16.4,9,0.889,56,0.446,32,0.469,0.54,0.56,17.2,3.3,5.1,6.3,29.3,1.33,0.33,3,7.9,106.7,102.3
,Maurice Harkless,Mia,F-G,27.68,6,8.3,17.2,7.8,22.5,2,0,2,0,4,0.25,0.25,0.218,0.5,0.8,5.6,0.2,2.5,0,0,0.33,2.1,40.8,101.7
,Wes Iwundu,Dal,F,26.07,6,13.2,27.4,12.8,8.8,4,0.75,12,0.5,7,0.143,0.395,0.434,3,1.8,7.5,0.3,3.6,0.5,0,0.33,3.6,88.1,102.5
,Nathan Knight,Atl,F-C,20,6,5.8,12.2,23.9,14.9,5,0.8,8,0.25,7,0.429,0.433,0.494,2.8,1.7,14.5,0.2,4.2,0,0.5,0.5,6.8,103.4,99.4
,Trey Lyles,San,F,25.2,6,13.9,28.9,9.4,0,5,0.4,9,0.444,7,0.286,0.438,0.44,2.7,4.3,15.9,0.5,4.5,0,0,0,5.2,109.2,109.2
,De'Anthony Melton,Mem,G,22.64,6,21.1,43.9,19.4,15.5,2,0.5,33,0.515,15,0.4,0.542,0.542,8.8,2.5,6.3,2.7,18.7,1.33,1,1.5,7.4,100.1,101.3
,Miye Oni,Uta,G-F,23.45,6,7.5,15.7,9.4,10,0,0,2,0,7,0.429,0.5,0.5,1.5,1.5,10.3,0.8,14.2,0,0.67,0.17,6.5,119.6,93
,Jordan Poole,Gol,G,21.58,7,10.3,21.5,21.4,10.8,9,1,12,0.583,17,0.294,0.5,0.576,5.4,1.1,5.7,0.9,12.8,0.14,0,0.57,6.8,109.7,106.9
,Jerome Robinson,Was,G,23.9,6,15,31.1,13.3,13.7,5,1,13,0.385,10,0.4,0.478,0.536,4.5,1.7,6,1.3,11,0.5,0,0.67,5.7,103.6,103.7
,JaKarr Sampson,Ind,F,27.83,7,7.5,15.5,15,5.5,5,0.8,13,0.538,2,0,0.467,0.523,2.6,2.1,16,0,0,0.14,0.29,0.14,0,109.5,98
,Xavier Tillman,Mem,F,20,6,18.2,37.9,14.7,2.6,2,1,33,0.606,3,0,0.556,0.569,7,3.5,10.1,1.7,13.6,0.83,0.67,0.17,7.6,126.3,101.5
,Juan Toscano-Anderson,Gol,F,27.77,6,15,31.1,7.5,30.9,5,0.6,5,1,4,0.5,0.889,0.848,3.2,3.3,11.5,1.8,16.6,0.33,0.67,0.83,7.1,128.7,101.3
,Udoka Azubuike,Uta,C-F,21.33,5,4.7,9.8,10.4,0,4,0.5,4,0.75,0,0,0.75,0.694,1.6,1,10.9,0,0,0.2,0.2,0,0,145.4,100.7
,DeAndre' Bembry,Tor,G-F,26.54,5,3.7,7.7,18.5,50,0,0,4,0.5,0,0,0.5,0.5,0.8,0.6,8.7,0.4,15.3,0.2,0.2,0.8,6.2,,
,CJ Elleby,Por,F-G,20,6,5.6,11.7,13.1,9.7,3,0.667,3,1,5,0.4,0.75,0.751,2.3,0.3,3.2,0.3,8.7,0,0.17,0.17,4.2,141.1,99.9
,Evan Fournier,Orl,G-F,28.21,5,25.4,52.9,21.3,14,23,0.87,22,0.682,23,0.348,0.6,0.671,14.8,1.6,3.3,2,12.1,1.4,0,1.8,5.7,123.1,102.6
,Shaquille Harrison,Uta,G,27.28,5,4.5,9.4,20.6,27.6,2,0.5,7,0.571,0,0,0.571,0.571,1.8,0.2,2.3,0.8,26.7,0.4,0,0.6,5.9,97.7,105.5
,Markus Howard,Den,G,20,5,1.4,2.8,31.9,0,0,0,1,1,4,0,0.2,0.2,0.4,0,0,0.2,20,0,0,0,0,,
,Elijah Hughes,Uta,G,20,5,4.4,9.2,36.2,21.3,4,0.75,3,0.333,10,0.3,0.423,0.474,2.8,0.8,9.3,0.4,13.6,0.2,0.2,0.8,8.8,83.5,109.5
,Damian Jones,Pho,C,25.55,5,8.4,17.5,12.1,26.8,5,0.4,5,0.6,1,0,0.5,0.488,1.6,1.8,12,0,0,0.2,0.6,0.6,0,90,89.7
,Frank Kaminsky,Pho,F-C,27.78,5,8,16.7,23.5,4.8,4,0.5,14,0.429,4,0.25,0.417,0.43,3.4,1.8,12.6,0.8,15.2,0,0.2,0.2,8.5,104.8,108.3
,John Konchar,Mem,G,24.82,5,19.5,40.7,11.6,3.8,6,1,15,0.467,8,0.375,0.5,0.566,5.8,4.6,12.4,2.8,19,1.4,0.4,0.2,8.6,134.9,101.7
,Rodions Kurucs,Bro,F,22.94,5,3.2,6.6,8.1,0,0,0,1,0,2,0.5,0.5,0.5,0.6,0.6,10,0.4,15.4,0,0,0,6.6,,
,Karim Mane,Orl,G,20,5,9.9,20.7,10,25.5,4,1,6,0,1,0,0,0.228,0.8,2,10.4,0.2,2.4,0,0.2,0.6,2.8,43.2,111.4
,Garrison Mathews,Was,G,24.23,5,12.9,26.8,20.3,3.1,9,0.889,10,0.4,17,0.471,0.593,0.646,8,1.6,6.7,1,10.7,0.6,0.2,0.2,7.3,135.6,104.5
,Jaden McDaniels,Min,F,20,5,7.4,15.5,16.8,20.2,2,0.5,3,0.667,8,0.5,0.727,0.715,3.4,1.6,11.4,0.8,15.9,0.4,0.2,0.6,8.8,121.2,103.3
,Adam Mokoka,Chi,G,22.5,5,7.8,16.3,17,12.5,0,0,6,0.667,8,0.125,0.393,0.393,2.2,0.8,5.7,0.8,13.8,0.6,0.2,0.4,5.7,85.5,104.9
,Zeke Nnaji,Den,F-C,20,5,2.2,4.5,16.1,0,0,0,2,0.5,2,0,0.25,0.25,0.4,0.4,10.8,0,0,0,0,0,0,,
,Kendrick Nunn,Mia,G,25.45,5,12.1,25.3,23.9,9,3,1,20,0.5,9,0.111,0.397,0.429,5.2,1,4.6,1.8,23,0.4,0.2,0.6,7,93.2,112.5
,Chuma Okeke,Orl,F,20,5,18.3,38.1,9,15.3,6,0.5,7,0.429,7,0.286,0.429,0.451,3,2.6,7.4,1.6,11.3,0.6,0.2,0.6,5.1,104.2,111.7
,Josh Okogie,Min,G,22.37,5,24.4,50.9,11.5,8.9,6,0.667,20,0.65,8,0.125,0.518,0.539,6.6,3.4,7.4,1.8,10.2,0,1,0.6,5.6,115.2,111.2
,Daniel Oturu,Lac,C,21.32,5,4.6,9.5,17.7,11.1,0,0,7,0.714,1,0,0.625,0.625,2,1.4,17.9,0.4,14.4,0,0.4,0.2,9,120,101.8
,Patrick Patterson,Lac,F,31.84,5,11.5,23.9,14,16.8,2,1,4,0.5,10,0.3,0.464,0.504,3,2,10.2,0.6,7.1,0.4,0,0.6,5.3,100.9,104.6
,Reggie Perry,Bro,F-C,20.82,5,8.4,17.5,19.5,15.5,3,0.333,10,0.7,5,0.2,0.567,0.551,3.6,2.6,16.2,0.8,13.7,0,0,0.6,9.3,106,101.9
,Theo Pinson,Nyk,G-F,25.2,5,2.5,5.2,14.1,0,0,0,0,0,4,0,0,0,0,0.2,4.3,0,0,0,0,0,0,,
,Tyrell Terry,Dal,G,20,5,3.1,6.5,18.2,15.5,1,0,2,0.5,3,0,0.2,0.184,0.4,0.4,6.9,0.4,17.4,0.2,0,0.2,5.2,,
,Moritz Wagner,Was,F-C,23.72,5,13.5,28.2,13,4.6,8,0.75,10,0.7,7,0.571,0.765,0.78,6.4,4,15.9,0.8,7.9,0.4,0,0.2,8.1,153.1,88
,Yuta Watanabe,Tor,G-F,26.26,6,12.1,25.3,11.7,15,0,0,8,0.125,9,0.444,0.412,0.412,2.3,3.5,15.5,0.3,3.7,0.33,1,0.5,4.4,86.4,103.5
,Mo Bamba,Orl,C,22.68,4,8.2,17.1,27.3,9.4,3,0.667,11,0.545,7,0.286,0.5,0.518,5,3.5,22.1,0.5,10.4,0,0.5,0.5,10.1,108.3,79.3
,Keljin Blevins,Por,G,20,4,5.1,10.5,19,33.3,0,0,3,0.333,3,0,0.167,0.167,0.5,0,0,1,25.2,0.25,0,0.75,0,48,104.1
,Moses Brown,Okc,C,21.26,4,4,8.3,28.4,0,12,0.417,5,0.6,0,0,0.6,0.535,2.8,2,25.8,0.3,10.4,0.25,0.5,0,11.9,121.4,91.9
,Vlatko Cancar,Den,F,23.77,4,2.4,4.9,18.2,50,0,0,1,0,1,0,0,0,0,0.3,6.2,0,0,0.25,0.25,0.5,0,,
,Carsen Edwards,Bos,G,22.85,4,7.2,14.9,23.5,6.3,0,0,10,0.5,5,0.2,0.433,0.433,3.3,0.8,5.8,0.5,10.3,0,0.25,0.25,6.1,95,108.5
,James Ennis III,Orl,F,30.54,4,18,37.5,14.5,20.2,4,1,13,0.462,5,0.2,0.417,0.481,4.8,2.3,6.5,1.3,9.5,1.25,0,1.25,5.4,92.6,104.3
,Terrance Ferguson,Phi,G,22.67,5,3.5,7.4,9.5,25,0,0,0,0,3,0,0,0,0,0.2,3,0.2,6.5,0,0,0.2,0,,
,Anthony Gill,Was,F,20,4,3.5,7.2,11.4,0,2,1,1,1,2,0.5,0.833,0.902,1.8,0.8,11.6,0,0,0.25,0,0,0,,
,Kyle Guy,Sac,G,23.43,4,8.5,17.6,20.9,0,6,0.833,9,0.222,5,0.4,0.357,0.451,3.8,1.3,8.2,1.8,28.1,0.25,0,0,9.7,115.5,120.8
,Josh Hall,Okc,F,20,4,6.4,13.3,22.1,7.8,2,0,5,0,6,0.167,0.136,0.126,0.8,1,8,1,20.7,0,0,0.25,5.8,47.9,95.4
,Danuel House Jr.,Hou,F-G,27.61,4,32.6,68,10.8,3.1,10,0.7,12,0.583,15,0.2,0.426,0.478,7.5,4.5,7.5,2.3,9.2,0.25,0.25,0.25,5.2,109.5,108.4
,Chandler Hutchison,Chi,F-G,24.72,4,13,27.1,15.8,15.1,2,1,13,0.308,3,0.333,0.344,0.385,3.3,4.3,18.3,1,9.9,0.5,0,0.75,7.4,80.8,101.1
,Justin Jackson,Okc,F,25.8,4,14.4,29.9,20.3,18.8,6,0.833,7,0.857,12,0.083,0.395,0.462,5,2.3,8,0.8,7.7,0.25,0,1.25,5.8,82.4,109
,Justin James,Sac,G-F,23.98,4,7.3,15.3,17.5,0,7,0.143,5,0.6,4,0,0.333,0.29,1.8,1.3,9.5,0.8,13.6,0.25,0,0,6.8,78,120.8
,Tyler Johnson,Bro,G,28.69,4,7.5,15.6,9.9,0,0,0,2,0,5,0.6,0.643,0.643,2.3,0.5,3.5,1.8,29.8,0.75,0,0,6.8,161,108.6
,Lauri Markkanen,Chi,F-C,23.65,4,26.5,55.2,23,11.9,18,0.778,21,0.524,23,0.478,0.625,0.664,17.3,6.8,14.3,1.3,7.1,0.5,0.25,1.75,8.1,120.6,113
,Kelan Martin,Ind,F,25.45,5,5.1,10.7,23.4,14.3,0,0,7,0.286,5,0.2,0.292,0.292,1.4,1.2,13,0,0,0.4,0,0.4,0,56.3,90.8
,Jordan McLaughlin,Min,G,24.77,4,16.1,33.5,13,15,0,0,10,0.5,7,0.286,0.471,0.471,4,1.8,5.8,3.5,29.9,0.5,0.25,0.75,7.3,109.6,119.2
,Marcus Morris Sr.,Lac,F,31.37,4,20.4,42.4,21.8,15.1,4,1,15,0.267,17,0.412,0.453,0.489,8.3,3.5,10,0.8,5.3,0,0,1.5,5.6,92.5,109.7
,Frank Ntilikina,Nyk,G,22.47,4,10.5,21.9,18,11.5,3,0.333,5,0.2,9,0.556,0.607,0.587,4.5,1,5,0.8,10.9,0.75,0,0.5,5.8,110.1,94.8
,KZ Okpala,Mia,F-G,21.72,4,10.2,21.3,11.4,9.3,4,0.25,4,0.5,4,0,0.25,0.256,1.3,2,10.8,0.3,3.1,0.5,0,0.25,3.6,71.7,105.5
,Michael Porter Jr.,Den,F,22.55,4,29.2,60.9,21.7,3.4,8,0.875,27,0.704,26,0.423,0.67,0.69,19.5,6.8,13.5,1.8,9.6,1,1.5,0.5,8.5,137.6,104.7
,Jahmi'us Ramsey,Sac,G,20,4,3.9,8.2,13.5,20,0,0,1,1,3,0.333,0.625,0.625,1.3,1,14.1,0.3,8.7,0,0.25,0.25,7.5,,
,Nick Richards,Cha,C,20,4,3,6.2,10.3,0,2,0.5,2,1,0,0,1,0.868,1.3,0.8,13.1,0,0,0,0,0,0,,
,Chris Silva,Mia,F,24.32,5,9.6,20,19.2,37.6,12,0.833,8,0.625,0,0,0.625,0.753,4,3.4,19.6,1.2,17.3,0.2,0.4,1.6,10.6,117,80.8
,Cassius Stanley,Ind,G,20,5,2.4,5,22.4,16.1,5,0.8,2,0.5,1,1,0.833,0.865,1.8,0.4,9.4,0,0,0,0,0.2,0,,
,Edmond Sumner,Ind,G,25.04,5,14,29.3,19.2,12.8,3,0.333,17,0.706,9,0.222,0.577,0.567,6.2,2,7.9,0.8,8.1,0.8,0,0.8,6.1,105.7,106
,Matt Thomas,Tor,G,26.45,4,12.3,25.7,16.8,5.1,1,1,5,0.2,13,0.538,0.639,0.651,6,1.3,5.4,1.3,15.4,0.5,0,0.25,7,130.4,113.2
,Karl-Anthony Towns,Min,C-F,25.17,4,32.9,68.6,26.7,11.9,25,0.96,47,0.489,16,0.375,0.508,0.595,22,12.5,20.2,4.3,20.9,0.5,2.75,2.5,12.9,122.1,108.4
,T.J. Warren,Ind,F,27.36,4,29.4,61.1,21.7,6.7,10,0.8,44,0.614,7,0,0.529,0.56,15.5,3.5,6.6,1.3,6.4,0.5,0,1,5.6,108.1,99.3
,Robert Woodard II,Sac,F,20,4,3.4,7.1,37,8.4,2,0,7,0.571,3,0.333,0.55,0.506,2.8,2,32.6,0,0,0,0,0.25,0,,
,Ty-Shon Alexander,Pho,G,20,3,2.8,5.8,16.4,0,0,0,2,0,1,0,0,0,0,0.3,6.7,0.3,14.5,0,0,0,0,,
,Tony Bradley,Phi,C-F,22.93,4,14.5,30.1,16.2,4.5,3,0.333,19,0.526,1,0,0.5,0.492,5.3,7.8,28.3,0.8,7.4,0.5,1.25,0.25,8.9,123.7,99.1
,Ignas Brazdeikis,Nyk,F,22.02,3,1.3,2.6,21.7,0,2,1,1,0,0,0,0,0.532,0.7,0.7,27.8,0,0,0,0,0,0,,
,Alec Burks,Nyk,G,29.49,3,27.6,57.6,25.3,14.6,20,0.9,17,0.412,15,0.667,0.688,0.76,20.7,3.7,7,3.7,22.6,1,0.67,2.33,9.5,136,100.2
,Vernon Carey Jr.,Cha,F-C,20,3,2.1,4.4,26.2,0,2,0.5,2,0.5,1,0,0.333,0.387,1,1,24.8,0.3,24.2,0,0.33,0,12.8,,
,Spencer Dinwiddie,Bro,G,27.78,3,21.4,44.7,15.6,21.2,6,1,9,0.444,7,0.286,0.438,0.536,6.7,4.3,10.6,3,17.7,0.67,0.33,1.67,8.3,102.1,104.6
,Drew Eubanks,San,F-C,23.95,3,19.5,40.6,11.6,6.3,4,0.75,13,0.231,0,0,0.231,0.305,3,4.3,11.3,0.3,2.1,0.33,2,0.33,3.2,68.4,99.8
,Tim Frazier,Mem,G,30.21,3,10.8,22.6,14.3,27.3,0,0,6,0.333,2,0,0.25,0.25,1.3,1.3,6.5,2.3,27.1,0.33,0,1,5.8,66.8,99.2
,Javonte Green,Bos,G-F,27.48,3,14.3,29.7,15,13.2,5,0.6,7,0.714,4,0.25,0.591,0.606,5.3,2.7,10.4,0.7,6.3,0.67,0,0.67,6,121.1,113.8
,Frank Jackson,Det,G,22.7,3,8.1,16.9,22.7,23.1,0,0,2,0,8,0.25,0.3,0.3,2,1.3,8.8,1.7,29.5,0.33,0,1,8.1,66.8,101.9
,Mason Jones,Hou,G,20,4,9.2,19.2,28.3,16.6,7,0.571,11,0.545,6,0.167,0.441,0.473,4.8,2,11.7,1,17,0.25,0,1,9.2,91.5,105.9
,Tre Jones,San,G,20,3,3.5,7.3,34,0,3,1,7,0.571,0,0,0.571,0.661,3.7,1,14.5,0.3,19.6,0,0,0,11.8,,
,Furkan Korkmaz,Phi,G-F,23.48,3,18.3,38.1,23.6,19.4,2,1,8,0.25,16,0.25,0.333,0.362,6,2,5.8,1,7.2,0.67,0.67,2,5,64.8,108.6
,Meyers Leonard,Mia,F-C,28.88,3,9.8,20.4,14.6,20.2,2,0.5,0,0,7,0.429,0.643,0.635,3.3,2.3,13.2,0.7,9.4,0,0,0.67,7.1,101.9,94.8
,Kira Lewis Jr.,Nor,G,20,3,9.4,19.7,22.5,6.7,2,1,8,0.375,5,0.4,0.462,0.504,4.7,0.7,3.9,0.3,5.6,0.33,0.33,0.33,4.2,102.2,104
,Kenyon Martin Jr.,Hou,F,20,4,7.4,15.4,21.2,6.9,1,0,11,0.455,2,0.5,0.5,0.484,3.3,2,14.7,1,21.7,0.25,0.25,0.25,10.1,110.9,106.6
,Skylar Mays,Atl,G,20,3,3.7,7.6,11.3,0,0,0,2,0,1,0,0,0,0,0,0,0.3,11.1,0,0,0,0,,
,Sean McDermott,Mem,F,20,3,13.8,28.8,11.1,27.6,2,1,2,0.5,5,0.2,0.357,0.444,2.3,1,3.8,1,8.9,0,0,1,3.8,85.9,115
,Ben McLemore,Hou,G,27.93,4,17.6,36.6,21.6,22.9,0,0,5,0.2,22,0.5,0.648,0.648,8.8,2.5,7.7,2,17.3,0.5,0,2,8,102.2,105.9
,Chimezie Metu,Sac,F-C,23.82,3,4.9,10.3,32.1,8.9,5,0.8,7,0.571,1,1,0.688,0.735,5,1,11.2,0.3,13.1,0.33,0.67,0.33,9.3,142.4,114.5
,Ja Morant,Mem,G,21.43,3,27.1,56.5,36.7,9.9,19,0.842,46,0.587,9,0.333,0.573,0.623,26.3,2.3,4.5,6.3,47.8,0.67,0.67,2.33,10.7,122.5,106.7
,Juwan Morgan,Uta,F,23.75,3,3.3,6.8,4.4,0,0,0,0,0,1,0,0,0,0,1,15.8,0,0,0,0,0,0,,
,Aaron Nesmith,Bos,G-F,20,3,13,27.1,15.2,14.3,0,0,3,0.333,9,0.222,0.333,0.333,2.7,1.7,7.1,0.3,3.2,0,0.33,0.67,3.4,70.2,99.3
,Vincent Poirier,Phi,C-F,27.22,3,4.7,9.7,17.3,17.4,4,0.5,3,0.333,0,0,0.333,0.42,1.3,1,11.3,0.3,8.9,0,0.33,0.33,6.2,97.3,108
,Paul Reed,Phi,F,20,4,12.7,26.4,19.9,20.8,0,0,16,0.5,3,0,0.421,0.421,4,2.5,10.4,0.8,8.3,0.25,1,1.25,6.3,86.9,106.3
,Luka Samanic,San,F,21.02,3,2.8,5.8,30.4,0,2,0.5,3,0,2,0.5,0.3,0.34,1.3,0,0,0,0,0,0,0,0,,
,Tomas Satoransky,Chi,G,29.21,3,22.6,47.1,14.9,32.9,3,1,9,0.556,6,0.333,0.533,0.582,6.3,2.3,5.8,6,34.5,1.33,0.33,2.67,7.8,108.7,116.9
,Brodric Thomas,Hou,G,20,3,6.3,13.2,23.3,29.4,5,0.6,1,1,4,0,0.2,0.347,1.7,1,8.6,1.3,27.1,0,0,1,8.3,76.1,89.7
,Sindarius Thornwell,Nor,G,26.17,3,9.8,20.5,7.3,0,0,0,4,0.25,1,0,0.2,0.2,0.7,0.7,3.7,0,0,1.33,0,0,0,47.1,97.1
,Tremont Waters,Bos,G,23.01,3,11,23,23.9,37.3,4,1,6,0.167,4,0.25,0.25,0.383,3,0.7,3.3,2.7,29.2,0.67,0,2.33,6.5,74.7,103.7
,Paul Watson,Tor,G,26.05,3,2.7,5.6,10.5,0,0,0,1,1,1,0,0.5,0.5,0.7,1,19.9,0,0,0,0.33,0,0,,
,Ryan Arcidiacono,Chi,G,26.81,2,14,29.2,15.3,0,3,1,4,0.5,5,0.2,0.389,0.484,5,3,12,2,18.7,1,0,0,8.9,119.5,108.1
,Keita Bates-Diop,San,F,24.98,2,1,2.1,21.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Marquese Chriss,Gol,F,23.54,2,13.4,27.8,27.7,11.3,4,0.5,9,0.444,5,0.2,0.393,0.412,6.5,6.5,25,1,11.9,0,1,1,10.4,87.5,97.6
,Torrey Craig,Mil,F,30.08,2,6.3,13,6.7,50,0,0,1,0,0,0,0,0,0,2,17,1,17.2,0,0.5,0.5,0,56.7,91.6
,Tacko Fall,Bos,C,25.1,2,12.6,26.3,9.7,0,4,0.5,4,0.5,0,0,0.5,0.521,3,4.5,19.8,0,0,0,2.5,0,0,134.1,98.9
,Yogi Ferrell,Cle,G,27.69,2,20.3,42.2,26.8,12.1,2,0,12,0.417,9,0.333,0.452,0.434,9.5,3,8.1,2.5,20.9,1.5,0.5,1.5,8.2,90.5,99
,Trent Forrest,Uta,G,20,2,4.4,9.2,4.3,0,2,1,0,0,0,0,,1.136,1,0,0,0.5,13.5,0.5,0,0,0,,84.9
,Danilo Gallinari,Atl,F,32.44,2,13.8,28.8,19.1,23.5,4,1,5,0.8,3,0.667,0.875,0.922,9,2.5,9.2,1.5,18.1,0,0,1.5,9.4,139,105.2
,Jared Harper,Nyk,G,23.34,2,2.7,5.5,23.8,34.7,2,1,1,0,0,0,0,0.532,1,0,0,0,0,0,0,0.5,0,,
,Nate Hinton,Dal,G-F,20,2,0.8,1.7,27.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,Jalen Lecque,Ind,G,20.59,2,1.9,3.9,28.3,0,1,1,2,0.5,0,0,0.5,0.615,1.5,1.5,45.1,0.5,42.9,0,0,0,21.9,,
,Saben Lee,Det,G,20,2,12.6,26.1,23.3,21.8,4,0.5,8,0.375,1,0,0.333,0.372,4,0.5,2.1,0.5,6,1.5,0,1.5,3.2,67.1,105.6
,Nassir Little,Por,F-G,20.93,3,5.8,12.2,12.2,40,0,0,2,0.5,1,1,0.833,0.833,1.7,1,9.1,0,0,0,0.33,0.67,0,94.8,108
